A-TOOLS MESH DATA V1.0
Feature-Path: :/features/features/
Screenshot-Path: :/screenshots/screenshots/
N-Samples: 1048576
N-Bins: 256
N-Vox: 32
N-Test-Angles: 8
N-Test-Steps: 256
Ini-Step: -10
End-Step: 10
N-Models: 495
N-Info: 8
----Info----
OFRENDA
NO_ELEMENT
ENTRADA
INVENTARIO
UBICACION
FUNCION
MATERIA PRIMA
DESCRIPCION
----Data----
0CII_0050_0001,CII,050_0001,2362,??_??????,CII-P54,CUENTA ZOOMORFA,PIEDRA VERDE,REPRESENTACION RANA
0CII_0050_0002,CII,050_0002,2055,??_??????,CII-P54,CUENTA ZOOMORFA,PIEDRA VERDE,REPRESENTACION RANA
0CII_0050_0003,CII,050_0003,2367,??_??????,CII-P54,CUENTA ANTROPOMORFA,PIEDRA VERDE,REPRESENTACION ROSTRO
0CII_0056_0001,CII,056_0001,2089,10-251613,S2-V14,MASCARA,PIEDRA VERDE,????
0CII_0064_0001,CII,064_0001,2524,10-251724,CAMII-P-64,MASCARA,PIEDRA VERDE,????
0CII_0077_0001,CII,077_0001,2121,10-251609,S3-V13,MASCARA,PIEDRA VERDE,????
0CII_0079_0001,CII,079_0001,2135,10-251603,CR2-P31,MASCARA,PIEDRA VERDE,????
0CII_0080_0001,CII,080_0001,2140,10-251599,S3-V9,MASCARA,PIEDRA VERDE,????
0CII_0081_0001,CII,081_0001,2141,10-251595,CR2-P40,MASCARA,PIEDRA VERDE,????
0CII_0082_0001,CII,082_0001,2142,10-251591,CR2-P01,MASCARA,PIEDRA VERDE,????
0CII_0083_0001,CII,083_0001,2143,10-252106,V11-S3,MASCARA,PIEDRA VERDE,????
0CII_0084_0001,CII,084_0001,2144,10-251588,S2-V14,MASCARA,PIEDRA VERDE,????
0CII_0085_0001,CII,085_0001,2145,10-252098,S2-V14,MASCARA,PIEDRA VERDE,????
0CII_0086_0001,CII,086_0001,2146,10-168802,CII-P65,MASCARA,PIEDRA VERDE,????
0CII_0090_0001,CII,090_0001,2227,10-252105,CII-P16,MASCARA,PIEDRA VERDE,????
0CII_0093_0001,CII,093_0001,2229,10-251590,S3-V10,MASCARA,PIEDRA VERDE,????
0CII_0094_0001,CII,094_0001,2223,10-251594,CAMII-P06,MASCARA,PIEDRA VERDE,????
0CII_0095_0001,CII,095_0001,2224,10-251598,S3-V8,MASCARA,PIEDRA VERDE,????
0CII_0096_0001,CII,096_0001,2225,10-252115,S3-V11,MASCARA,PIEDRA VERDE,????
0CII_0099_0001,CII,099_0001,2228,10-251628,S2-V14,MASCARA,PIEDRA VERDE,????
0CII_0100_0001,CII,100_0001,2229,10-220327,S3-V9,MASCARA,PIEDRA VERDE,????
0CII_0101_0001,CII,101_0001,2250,10-252112,CR-2-P-18,MASCARA,PIEDRA VERDE,????
0CII_0102_0001,CII,102_0001,2231,10-251612,S2-V14,MASCARA,PIEDRA VERDE,????
0CII_0103_0001,CII,103_0001,2232,10-251618,S2-V14,MASCARA,PIEDRA VERDE,????
0CII_0104_0001,CII,104_0001,2233,10-251623,V14-S2,MASCARA,PIEDRA VERDE,????
0CII_0105_0001,CII,105_0001,2234,10-220325,S2-V14,MASCARA,PIEDRA VERDE,PULIDO
0CII_0106_0001,CII,106_0001,2275,10-220319,S3-V10,MASCARA,PIEDRA VERDE,????
0CII_0112_0001,CII,112_0001,2320,10-265462,CR2-P-02,MASCARA,PIEDRA VERDE,????
0CII_0113_0001,CII,113_0001,2321,10-251626,S2-V14,MASCARA,PIEDRA VERDE,????
0CII_0114_0001,CII,114_0001,2322,10-220326,S2-V14,MASCARA,PIEDRA VERDE,MUY PULIDA
0CII_0115_0001,CII,115_0001,2323,10-252109,V11-S3,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0CII_0116_0001,CII,116_0001,2324,10-251517,S5-V3,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0CII_0118_0001,CII,118_0001,2526,10-251615,CR-2-P-45,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0CII_0119_0001,CII,119_0001,2327,10-251611,CRII-P44,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0CII_0120_0001,CII,120_0001,2328,10-251606,S3-V11,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
